lat,lon,category,label
44.7287,-89.9210,disease,Disease damage
45.5019,-118.1701,insects,Insect damage to trees
43.2065,-121.9239,disease,Disease damage
38.1303,-86.1954,animal,Domestic animal/livestock
31.5770,-92.9262,weather,Flooding
33.4511,-80.6180,fire,Fire damage (general)
43.6432,-84.5612,disease,Disease damage to trees
34.3916,-78.2415,weather,Flooding
32.2925,-89.5693,weather,Wind/hurricane/tornado
32.8624,-83.9989,other,Human-induced
47.4971,-93.1258,weather,Wind/hurricane/tornado
45.1300,-118.0878,disease,Disease damage to trees
46.9679,-121.0161,insects,Insect damage to trees
33.7454,-79.3254,weather,Ice
35.2230,-78.3767,animal,Beaver
42.4283,-123.5308,insects,Insect damage to trees
45.4967,-114.1455,insects,Insect damage
39.4835,-91.4721,insects,Insect damage to trees
44.4554,-118.3569,disease,Disease damage to trees
43.7172,-91.0478,insects,Insect damage to trees
40.0444,-108.5351,weather,Drought
42.5448,-71.7479,animal,Beaver
43.1828,-121.1561,animal,Domestic animal/livestock
42.6831,-121.3634,disease,Disease damage to trees
36.9752,-92.6449,fire,Fire damage (general)
34.5019,-95.4401,fire,Ground fire
