lat,lon,category,label
41.9784,-78.0494,disease,Stem decay
45.5102,-90.4373,disease,Cankers (non-rust)
34.9630,-109.2531,disease,Stem decay
33.0885,-85.0981,disease,Stem decay
30.6428,-95.9391,disease,Stem decay
31.0774,-93.8695,disease,Stem decay
41.4314,-78.8667,disease,Stem decay
37.5256,-88.0889,insects,Boring insects
42.0545,-124.1228,disease,Stem decay
45.8050,-91.9881,animal,Wild animals
37.7253,-120.2742,disease,Stem decay
44.0097,-85.8875,disease,Stem decay
36.0051,-82.2883,disease,Stem decay
43.8166,-114.9230,defoliators,Western spruce budworm
45.8255,-115.5836,disease,Stem decay
37.9825,-86.5820,disease,Stem decay
47.1827,-93.4766,animal,Wild animals
33.8424,-88.5130,disease,Stem decay
46.2753,-89.7856,disease,Stem decay
37.2109,-121.1342,disease,Decline complexes/dieback/wilts
34.6331,-78.2388,canker/rust,Fusiform rust
43.0820,-90.9188,insects,Boring insects
47.5035,-93.1755,other,Other damages
34.9398,-95.2378,disease,Stem decay
47.8451,-90.1561,disease,Stem decay
39.5362,-86.4817,disease,Stem decay
45.0549,-92.0616,boring insects,Emerald ash borer
41.4811,-77.7188,human,Human activities
46.9297,-94.7819,disease,Stem decay
36.7328,-79.8303,disease,Stem decay
38.4863,-82.1498,disease,Stem decay
34.6112,-84.1687,abiotic,Abiotic damage
35.8949,-111.7391,unknown,Unknown
43.3494,-72.9868,insects,Boring insects
44.5358,-94.2896,disease,Stem decay
34.1500,-92.6081,canker/rust,Fusiform rust
48.4017,-92.7008,other,Other damages
29.7013,-100.5323,disease,Stem decay
44.0213,-123.7096,disease,Stem decay
35.0204,-87.0740,disease,Stem decay
31.3942,-91.3754,disease,Stem decay
37.5467,-111.9749,disease,Stem decay
35.8054,-84.1874,disease,Cankers (non-rust)
42.8582,-72.6684,canker/rust,Beech bark disease
35.5341,-82.4354,abiotic,Abiotic damage
42.5991,-72.4291,other,Other damages
39.3716,-83.0832,disease,Stem decay
31.7246,-94.1677,disease,Stem decay
38.7132,-111.7497,unknown,Unknown
46.0514,-116.8074,fire,Fire
47.7149,-91.9254,disease,Stem decay
48.1067,-92.6488,animal,Wild animals
33.8885,-85.3232,disease,Stem decay
37.1082,-96.7040,disease,Stem decay
45.6579,-87.3444,animal,Wild animals
43.9688,-91.7107,animal,Wild animals
40.0780,-123.5919,disease,Stem decay
44.7811,-115.1696,unknown,Unknown
34.2029,-95.8609,disease,Stem decay
47.0711,-92.0264,animal,Wild animals
37.7783,-79.8096,disease,Stem decay
40.6835,-82.4535,other,Other damages
