lat,lon,status
47.8071,-116.0624,Clean
30.5351,-96.7515,Clean
42.1566,-83.5163,Clean
38.5011,-119.7765,Clean
33.2167,-81.1132,Excluded
46.0468,-88.7408,Clean
41.8395,-80.0382,Excluded
40.4284,-105.5935,Clean
40.5553,-76.0861,Clean
34.3864,-78.6937,Clean
35.2500,-86.3481,Clean
33.8665,-83.5388,Clean
35.6913,-96.7325,Clean
32.4843,-86.2295,Clean
34.0569,-109.2705,Clean
35.5876,-91.6894,Clean
37.3132,-78.7860,Clean
47.7941,-117.1370,Clean
40.8370,-121.1246,Clean
29.7833,-100.9133,Clean
43.3454,-83.4908,Clean
40.5313,-76.3102,Clean
35.1197,-85.9171,Clean
47.1529,-95.2887,Clean
30.4036,-93.1197,Excluded
34.3909,-80.9583,Clean
35.1447,-81.6742,Clean
45.1262,-84.6464,Excluded
44.0739,-89.7924,Excluded
40.7420,-121.1296,Clean
44.8725,-85.2261,Clean
33.7787,-84.5176,Clean
44.1924,-90.2533,Clean
45.6426,-85.0189,Excluded
36.9018,-80.1521,Clean
42.3298,-77.0220,Clean
48.6002,-94.1737,Clean
44.3199,-122.3739,Clean
31.5807,-100.1976,Clean
31.3984,-81.9903,Clean
45.1860,-69.2014,Clean
36.3596,-109.1679,Clean
31.5863,-91.6081,Clean
36.3156,-88.3504,Excluded
41.4924,-78.4748,Clean
41.9794,-75.4552,Clean
36.3533,-78.3308,Excluded
37.3862,-107.4890,Clean
45.2499,-89.4007,Excluded
41.2665,-73.5376,Clean
34.5021,-94.6033,Excluded
47.6029,-121.6122,Excluded
34.9037,-88.7345,Clean
41.6836,-77.8258,Clean
38.9716,-77.6353,Clean
32.6733,-104.0515,Clean
32.0582,-88.7908,Clean
36.8725,-92.1900,Clean
38.0047,-91.3491,Clean
42.8167,-124.2703,Clean
37.2980,-77.6542,Clean
44.7198,-123.5109,Clean
36.4799,-87.7722,Clean
45.1339,-113.4179,Clean
46.2170,-91.6088,Clean
44.1624,-85.7153,Clean
43.7400,-85.8575,Clean
45.8435,-93.7035,Clean
44.3230,-70.9127,Clean
34.2624,-89.2578,Clean
34.6407,-93.1619,Clean
35.3922,-100.7332,Clean
40.3604,-91.0212,Clean
44.7600,-67.3004,Clean
42.2092,-76.9643,Clean
39.1062,-83.7041,Clean
41.2347,-74.3266,Clean
31.5071,-104.5207,Clean
47.2474,-95.4676,Clean
40.5625,-110.7659,Clean
45.9689,-86.9874,Clean
37.8958,-78.7191,Clean
46.7548,-88.9254,Clean
41.2047,-77.4007,Excluded
45.7922,-67.9989,Excluded
31.2274,-83.2284,Excluded
35.7723,-84.9599,Clean
42.9971,-122.6922,Clean
31.9857,-95.7451,Excluded
42.3756,-120.3754,Clean
46.1416,-90.3492,Clean
42.9615,-84.0988,Clean
48.6413,-118.9140,Clean
31.6942,-92.0706,Clean
46.9742,-93.2430,Clean
36.3265,-88.2980,Clean
37.4492,-80.3769,Clean
40.6540,-123.6703,Clean
31.4887,-95.2201,Clean
37.9571,-81.3685,Clean
36.2225,-79.8137,Clean
34.8554,-93.9378,Clean
39.6684,-79.0956,Clean
36.0697,-80.4854,Clean
38.0296,-80.1794,Clean
41.9969,-111.6866,Clean
38.7281,-107.7610,Clean
33.3833,-79.6014,Excluded
45.7573,-69.6999,Clean
44.1568,-89.1730,Clean
37.6638,-79.3587,Clean
45.4885,-113.6993,Clean
45.4870,-91.6455,Clean
32.3186,-94.2254,Excluded
38.2161,-106.2516,Clean
34.5109,-93.3553,Clean
35.2230,-78.3767,Clean
45.1704,-89.1778,Clean
44.4496,-74.6607,Excluded
36.5981,-110.2748,Clean
40.4710,-75.7473,Clean
40.0587,-117.8130,Clean
36.0746,-80.0446,Clean
32.5286,-85.7096,Clean
37.6219,-76.6082,Clean
38.4765,-119.5847,Clean
32.2099,-84.7347,Clean
32.6628,-81.2261,Clean
39.8893,-80.8868,Clean
32.5398,-83.8354,Excluded
45.0717,-116.9118,Clean
35.5609,-85.2600,Excluded
38.0712,-82.8333,Clean
38.7225,-79.8058,Clean
35.7144,-92.7550,Excluded
39.2223,-82.3949,Clean
45.5208,-88.5294,Clean
37.1300,-81.2219,Clean
33.7713,-83.0605,Clean
43.0858,-109.1292,Clean
33.3570,-86.6551,Clean
45.3491,-87.8652,Clean
37.5260,-86.1285,Clean
47.2059,-113.3106,Clean
32.8330,-106.6862,Clean
34.6711,-86.6431,Clean
41.5949,-85.1620,Clean
34.5879,-91.3688,Clean
30.9946,-82.8690,Excluded
46.2890,-90.4915,Clean
38.5852,-77.5217,Clean
46.6489,-113.7346,Clean
44.8624,-68.0161,Clean
47.2165,-121.5109,Clean
39.4354,-116.1328,Clean
34.1436,-108.7264,Clean
35.2536,-113.7593,Clean
37.4964,-104.4926,Clean
37.4560,-90.9224,Excluded
42.9692,-118.4384,Excluded
34.8728,-76.8733,Clean
43.8250,-71.5168,Clean
44.1181,-118.6558,Clean
46.7623,-92.9715,Clean
34.8302,-78.1135,Excluded
36.4265,-78.7103,Excluded
36.9132,-90.6688,Clean
38.9914,-80.9090,Clean
36.3088,-107.5557,Excluded
38.8708,-86.9101,Clean
44.4389,-84.3236,Clean
45.6120,-118.0577,Clean
30.8834,-91.6543,Clean
33.9651,-82.0932,Clean
30.6356,-85.7667,Excluded
38.0763,-106.3105,Clean
33.9402,-78.6141,Clean
37.4445,-83.5203,Clean
36.0369,-108.7806,Clean
26.1255,-98.1162,Clean
46.1937,-94.5233,Clean
38.2673,-82.4523,Clean
40.3147,-82.0131,Excluded
42.4073,-111.5442,Clean
43.7780,-71.9889,Clean
45.0395,-88.8723,Excluded
39.9940,-121.0268,Clean
33.3947,-89.7381,Clean
31.1620,-86.9292,Clean
37.2369,-118.4163,Clean
44.3117,-90.7804,Clean
48.8173,-113.7222,Clean
45.3022,-88.0267,Clean
44.6065,-68.5246,Clean
47.8140,-94.7061,Clean
46.8625,-116.7318,Clean
47.3739,-87.9681,Clean
36.6858,-77.2552,Clean
39.7717,-110.8031,Clean
32.8943,-81.3408,Excluded
31.3817,-85.1482,Excluded
40.3520,-80.9044,Clean
33.5948,-81.7834,Excluded
46.5579,-69.9090,Clean
34.9130,-84.4923,Clean
35.4704,-96.4267,Clean
34.4499,-90.0419,Clean
35.8276,-86.2169,Clean
44.1151,-86.0967,Clean
33.1846,-81.1547,Excluded
37.2893,-121.6784,Clean
38.5795,-79.7074,Clean
37.3771,-80.1727,Clean
38.5864,-76.6233,Clean
41.2390,-105.2320,Excluded
47.1264,-92.7676,Clean
31.3296,-83.1689,Clean
32.0463,-110.8469,Clean
33.6019,-92.8766,Clean
39.7917,-93.8569,Clean
36.6286,-91.5142,Clean
44.5551,-85.0024,Excluded
45.9379,-91.1314,Clean
46.2094,-120.8992,Excluded
34.5614,-91.3635,Clean
42.6992,-76.0511,Clean
46.0471,-67.9184,Clean
30.5825,-84.1678,Clean
38.4038,-118.6787,Clean
39.0701,-79.5156,Clean
32.7414,-85.3097,Excluded
33.1173,-80.7320,Clean
37.9667,-78.2094,Clean
33.9720,-81.6983,Excluded
31.0760,-101.9225,Clean
30.1971,-94.8046,Excluded
34.2444,-81.2586,Excluded
39.8435,-110.3458,Clean
44.5697,-84.1864,Clean
43.6327,-120.7716,Clean
35.4191,-77.7063,Clean
33.2434,-79.7816,Clean
46.1449,-90.6580,Clean
37.5576,-107.7710,Clean
47.4070,-110.5439,Clean
32.8337,-82.9352,Excluded
42.0843,-122.9622,Clean
42.0436,-75.5099,Clean
46.6576,-91.8244,Clean
36.8835,-92.1898,Clean
37.0645,-78.8555,Clean
48.5763,-95.0297,Clean
36.4556,-83.2114,Clean
46.3796,-91.2509,Clean
48.3167,-94.0467,Clean
31.2449,-96.4936,Clean
44.1627,-84.7625,Clean
30.3593,-83.9718,Clean
43.9363,-103.9841,Clean
38.2418,-86.5522,Clean
33.4752,-79.6248,Clean
34.0784,-99.8320,Clean
38.1010,-84.8568,Clean
45.2065,-121.8498,Clean
37.4964,-81.5788,Clean
45.3596,-67.8366,Excluded
42.4640,-78.3564,Clean
33.5146,-108.8427,Clean
41.9057,-70.9479,Clean
44.8192,-74.1587,Clean
36.8445,-91.6510,Clean
32.3317,-80.9695,Excluded
41.5716,-78.8430,Clean
32.1404,-85.1338,Clean
44.0412,-85.3380,Clean
38.0056,-79.9073,Excluded
31.9542,-96.2090,Clean
44.9524,-71.8298,Clean
32.1159,-97.4502,Clean
48.4784,-115.9893,Clean
33.0797,-81.3907,Clean
34.2279,-92.4038,Clean
44.1510,-91.9943,Clean
47.7502,-120.8746,Clean
37.6963,-91.2632,Clean
45.7156,-95.4883,Clean
34.8684,-88.0279,Excluded
34.0679,-108.3205,Clean
34.4300,-83.4234,Clean
47.1798,-91.6435,Clean
46.2386,-123.1635,Excluded
46.0106,-69.9033,Clean
45.2694,-88.3778,Clean
36.7382,-81.6165,Clean
47.3898,-91.2499,Clean
41.5823,-78.2751,Clean
35.2825,-112.2074,Clean
48.5485,-117.3494,Excluded
33.9150,-80.5024,Clean
48.1109,-92.9469,Clean
36.0031,-87.3390,Clean
36.1014,-83.1663,Clean
47.8979,-91.9296,Excluded
38.0839,-83.2172,Excluded
30.7274,-83.1968,Clean
37.0329,-84.2705,Clean
46.7668,-94.0818,Excluded
36.7327,-81.3374,Clean
35.4545,-93.6205,Clean
47.7410,-93.5883,Clean
42.4791,-72.9116,Clean
46.3423,-86.5224,Clean
42.9002,-72.9622,Clean
38.8629,-89.1492,Clean
34.0474,-78.6279,Excluded
32.1951,-91.4494,Excluded
43.7006,-91.1169,Clean
39.2533,-82.8258,Clean
34.6433,-88.0822,Clean
47.1631,-92.7511,Clean
37.9558,-92.4834,Clean
34.5016,-84.3394,Clean
44.4678,-123.8299,Clean
38.2582,-81.9872,Clean
34.3871,-77.9973,Clean
30.4238,-86.0603,Clean
43.1447,-74.4782,Excluded
37.4256,-79.7576,Clean
30.7322,-92.7920,Excluded
46.6204,-101.9729,Clean
41.5673,-73.1938,Clean
46.6591,-122.5827,Clean
30.7364,-87.8381,Clean
31.1908,-82.7151,Clean
36.7743,-111.5576,Clean
48.3467,-116.2542,Clean
35.0193,-79.9370,Clean
34.9366,-93.7774,Clean
38.9117,-108.5341,Excluded
35.5447,-95.0214,Clean
45.8371,-86.9181,Clean
47.8130,-121.8647,Clean
41.8849,-72.3526,Clean
44.0066,-103.6400,Clean
43.6897,-119.8065,Clean
33.8571,-95.2985,Clean
31.7429,-86.4340,Clean
30.9844,-82.7917,Clean
32.1634,-95.3260,Excluded
33.3641,-93.3874,Excluded
36.7382,-81.2806,Clean
43.6108,-118.3477,Clean
47.6854,-91.2463,Clean
31.7849,-90.8670,Clean
46.6882,-110.4796,Clean
45.3339,-123.7318,Excluded
33.1636,-82.8656,Clean
41.6826,-72.5016,Clean
34.8525,-77.6305,Clean
36.5196,-113.5730,Clean
38.8896,-88.6375,Clean
34.1439,-93.1360,Clean
45.0738,-84.1878,Clean
44.9904,-123.5151,Clean
37.4994,-83.4319,Clean
