source_taxon_key,source_taxon_name,n_source_codes,source_keys,source_systems,community_layers,any_bien_range_available,any_candidate_bien_range_available,total_abundance,total_cwm_missing_weight
taxon:antidesma_platyphyllum,Antidesma platyphyllum,2,fia_spcd:6139;p2veg:ANPL2,fia_spcd;nrcs_plants_symbol,p2veg_tree_layer;sapling;seedling;tree,FALSE,FALSE,2907.9672608119,899.583386
taxon:arbutus_arizonica,Arbutus arizonica,2,fia_spcd:362;p2veg:ARAR2,fia_spcd;nrcs_plants_symbol,p2veg_tree_layer;sapling;seedling;tree,TRUE,FALSE,1897.97474389022,0
taxon:arbutus_menziesii,Arbutus menziesii,2,fia_spcd:361;p2veg:ARME,fia_spcd;nrcs_plants_symbol,p2veg_tree_layer;sapling;seedling;tree,TRUE,FALSE,451432.208979126,0
taxon:arbutus_xalapensis,Arbutus xalapensis,2,fia_spcd:363;p2veg:ARXA80,fia_spcd;nrcs_plants_symbol,p2veg_tree_layer;sapling;seedling;tree,TRUE,FALSE,701.661365898702,0
taxon:archontophoenix_alexandrae,Archontophoenix alexandrae,2,fia_spcd:6159;p2veg:ARAL,fia_spcd;nrcs_plants_symbol,p2veg_tree_layer;seedling;tree,FALSE,FALSE,504.517734791846,449.791695
taxon:ardisia_elliptica,Ardisia elliptica,2,fia_spcd:6161;p2veg:AREL4,fia_spcd;nrcs_plants_symbol,p2veg_tree_layer;sapling;seedling;tree,TRUE,FALSE,203020.218023965,0
taxon:betula_neoalaskana,Betula neoalaskana,2,fia_spcd:376;p2veg:BENE4,fia_spcd;nrcs_plants_symbol,p2veg_tree_layer;sapling;seedling;tree,TRUE,FALSE,744244.282092977,0
taxon:betula_occidentalis,Betula occidentalis,2,fia_spcd:374;p2veg:BEOC2,fia_spcd;nrcs_plants_symbol,p2veg_tree_layer;sapling;seedling;shrub;tree,TRUE,FALSE,54230.9677412918,0
taxon:betula_papyrifera,Betula papyrifera,2,fia_spcd:375;p2veg:BEPA,fia_spcd;nrcs_plants_symbol,p2veg_tree_layer;sapling;seedling;tree,TRUE,FALSE,7790489.85206809,0
taxon:bischofia_javanica,Bischofia javanica,2,fia_spcd:6236;p2veg:BIJA,fia_spcd;nrcs_plants_symbol,p2veg_tree_layer;tree,TRUE,FALSE,46.4503006736344,0
