species_key,source_code_system,source_species_code,scientific_name,common_name,genus,specific_epithet,community_layers,growth_habits,original_bien_query_name,bien_query_scientific_name,bien_query_name,niche_taxon_name,niche_taxon_key,uses_manual_bien_override,manual_bien_override_name,override_decision,override_confidence,override_review_status,bien_range_available,range_lookup_status,range_match_status,needs_range_review,range_review_reason,range_lookup_error,source_tables,states_present,n_states,n_plot_visits,n_conditions,n_source_rows,abundance_total,in_seedlings,in_saplings,in_trees,in_shrubs,in_forbs,in_graminoids,in_p2veg_tree_layers,is_pseudo_taxon,has_scientific_name,needs_niche,source_scientific_name,recommended_bien_name,override_notes
fia_spcd:6722,fia_spcd,6722,Coprosma rhynchocarpa,woodland mirrorplant,Coprosma,rhynchocarpa,sapling;seedling;tree,tree,Coprosma_rhynchocarpa,Coprosma rhynchocarpa,Coprosma_rhynchocarpa,Coprosma rhynchocarpa,bien_taxon:coprosma_rhynchocarpa,FALSE,,,,,FALSE,missing,,TRUE,No BIEN range returned,,SEEDLING;TREE,HI,1,5,5,8,1351.62177084641,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,,,
fia_spcd:501,fia_spcd,501,Crataegus crus-galli,cockspur hawthorn,Crataegus,crus-galli,sapling;seedling;tree,tree,Crataegus_crus-galli,Crataegus crus-galli,Crataegus_crus-galli,Crataegus crus-galli,bien_taxon:crataegus_crus_galli,FALSE,,,,,FALSE,missing,,TRUE,No BIEN range returned,,SEEDLING;TREE,AL;AR;FL;GA;IA;IL;IN;LA;MI;MN;MO;MS;NC;OK;SC;TN;TX;VA;WI;WV,20,458,460,628,87722.9433869729,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,,,
fia_spcd:5800,fia_spcd,5800,Cupressocyparis leylandii,Leyland cypress,Cupressocyparis,leylandii,seedling,tree,Cupressocyparis_leylandii,Cupressocyparis leylandii,Cupressocyparis_leylandii,Cupressocyparis leylandii,bien_taxon:cupressocyparis_leylandii,FALSE,,,,,FALSE,missing,,TRUE,No BIEN range returned,,SEEDLING,GA,1,1,1,1,74.965282,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,,,
fia_spcd:53,fia_spcd,53,Cupressus forbesii,Tecate cypress,Cupressus,forbesii,seedling,tree,Cupressus_forbesii,Cupressus forbesii,Cupressus_forbesii,Cupressus forbesii,bien_taxon:cupressus_forbesii,FALSE,,,,,FALSE,missing,,TRUE,No BIEN range returned,,SEEDLING,CA,1,2,2,5,42130.488737,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,,,
fia_spcd:6837,fia_spcd,6837,Cyathea cooperi,Cooper's cyathea,Cyathea,cooperi,sapling;seedling;tree,tree,Cyathea_cooperi,Cyathea cooperi,Cyathea_cooperi,Cyathea cooperi,bien_taxon:cyathea_cooperi,FALSE,,,,,FALSE,missing,,TRUE,No BIEN range returned,,SEEDLING;TREE,HI,1,3,3,3,226.038395540592,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,,,
fia_spcd:6911,fia_spcd,6911,Diospyros sandwicensis,lama,Diospyros,sandwicensis,sapling;seedling;tree,tree,Diospyros_sandwicensis,Diospyros sandwicensis,Diospyros_sandwicensis,Diospyros sandwicensis,bien_taxon:diospyros_sandwicensis,FALSE,,,,,FALSE,missing,,TRUE,No BIEN range returned,,SEEDLING;TREE,HI,1,9,9,17,700.781692417009,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,,,
fia_spcd:7012,fia_spcd,7012,Erythrina sandwicensis,wili wili,Erythrina,sandwicensis,tree,tree,Erythrina_sandwicensis,Erythrina sandwicensis,Erythrina_sandwicensis,Erythrina sandwicensis,bien_taxon:erythrina_sandwicensis,FALSE,,,,,FALSE,missing,,TRUE,No BIEN range returned,,TREE,HI,1,4,4,5,32.1663026505488,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,,,
fia_spcd:513,fia_spcd,513,Eucalyptus grandis,grand eucalyptus,Eucalyptus,grandis,sapling;seedling;tree,tree,Eucalyptus_grandis,Eucalyptus grandis,Eucalyptus_grandis,Eucalyptus grandis,bien_taxon:eucalyptus_grandis,FALSE,,,,,FALSE,missing,,TRUE,No BIEN range returned,,SEEDLING;TREE,FL;HI;LA,3,32,35,107,8231.26482097113,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,,,
fia_spcd:7047,fia_spcd,7047,Eucalyptus pilularis,blackbutt,Eucalyptus,pilularis,tree,tree,Eucalyptus_pilularis,Eucalyptus pilularis,Eucalyptus_pilularis,Eucalyptus pilularis,bien_taxon:eucalyptus_pilularis,FALSE,,,,,FALSE,missing,,TRUE,No BIEN range returned,,TREE,HI,1,1,1,1,19.2303293435068,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,,,
fia_spcd:7053,fia_spcd,7053,Eucalyptus saligna,Sydney bluegum,Eucalyptus,saligna,tree,tree,Eucalyptus_saligna,Eucalyptus saligna,Eucalyptus_saligna,Eucalyptus saligna,bien_taxon:eucalyptus_saligna,FALSE,,,,,FALSE,missing,,TRUE,No BIEN range returned,,TREE,HI,1,2,2,2,38.3641607637346,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,,,
