species_key,source_species_code,scientific_name,common_name,gap_stage,gap_reason,cwm_missing_n_condition_rows,cwm_missing_weight_total,range_lookup_status,range_match_status,range_review_reason
fia_spcd:8085,8085,Pandanus tectorius,Tahitian screwpine,outside_or_empty_after_study_area_clip,"A global BIEN range/niche exists, but clipping to the configured all-U.S. study-area bounding box left no usable TerraClimate rows.",2,524.756977,available,available,
fia_spcd:8708,8708,Syzygium spp.,syzygium,not_targeted_for_niche,"Species record is a pseudo taxon, lacks a scientific name, or was otherwise marked as not requiring a niche.",1,524.756977,,,
fia_spcd:8755,8755,Terminalia kaernbachii,tropical almond,no_bien_range_map,BIEN did not report a range map for the query binomial,1,524.756977,no_range,missing_range,BIEN did not report a range map for the query binomial
fia_spcd:8895,8895,Wikstroemia phillyreifolia,Hawaii false ohelo,no_bien_range_map,BIEN did not report a range map for the query binomial,2,524.756977,no_range,missing_range,BIEN did not report a range map for the query binomial
fia_spcd:8899,8899,Wikstroemia spp.,false ohelo,not_targeted_for_niche,"Species record is a pseudo taxon, lacks a scientific name, or was otherwise marked as not requiring a niche.",3,524.756977,,,
fia_spcd:7144,7144,Falcataria moluccana,peacocksplume,outside_or_empty_after_study_area_clip,"A global BIEN range/niche exists, but clipping to the configured all-U.S. study-area bounding box left no usable TerraClimate rows.",5,524.756975,available,available,
fia_spcd:6058,6058,Albizia falcataria,ukall ra ngebard,no_bien_range_map,BIEN did not report a range map for the query binomial,1,449.791695,no_range,missing_range,BIEN did not report a range map for the query binomial
fia_spcd:6159,6159,Archontophoenix alexandrae,Alexandra palm,no_bien_range_map,BIEN did not report a range map for the query binomial,2,449.791695,no_range,missing_range,BIEN did not report a range map for the query binomial
fia_spcd:7729,7729,Melicope hawaiensis,mokihana kukae moa,no_bien_range_map,BIEN did not report a range map for the query binomial,2,449.791695,no_range,missing_range,BIEN did not report a range map for the query binomial
fia_spcd:8212,8212,Pisonia brunoniana,Australasian catchbirdtree,no_bien_range_map,BIEN did not report a range map for the query binomial,1,449.791695,no_range,missing_range,BIEN did not report a range map for the query binomial
fia_spcd:7805,7805,Miconia calvescens,velvet tree,outside_or_empty_after_study_area_clip,"A global BIEN range/niche exists, but clipping to the configured all-U.S. study-area bounding box left no usable TerraClimate rows.",2,449.791694,available,available,
fia_spcd:8944,8944,Zanthoxylum clava-herculis,Hercules' club,no_bien_range_map,BIEN did not report a range map for the query binomial,5,449.791693,no_range,missing_range,BIEN did not report a range map for the query binomial
