species_key,source_code_system,source_species_code,scientific_name,common_name,genus,specific_epithet,source_tables,community_layers,growth_habits,states_present,n_states,n_plot_visits,n_conditions,n_source_rows,abundance_total,in_seedlings,in_saplings,in_trees,in_shrubs,in_forbs,in_graminoids,in_p2veg_tree_layers,is_pseudo_taxon,has_scientific_name,needs_niche
p2veg:CRYPT,nrcs_plants_symbol,CRYPT,Cryptantha,cryptantha,Cryptantha,,P2VEG_SUBPLOT_SPP,forb,forb,CA;OR;WA,3,35,36,59,429.801531,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE
p2veg:CRYPT3,nrcs_plants_symbol,CRYPT3,Cryptogramma,rockbrake,Cryptogramma,,P2VEG_SUBPLOT_SPP,forb,forb,CA;OR,2,2,3,5,34.657715,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE
p2veg:CUCUM,nrcs_plants_symbol,CUCUM,Cucumis,melon,Cucumis,,P2VEG_SUBPLOT_SPP,shrub,shrub_vine,CA,1,1,1,1,8,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
p2veg:CUCUR,nrcs_plants_symbol,CUCUR,Cucurbita,gourd,Cucurbita,,P2VEG_SUBPLOT_SPP,forb,forb,CA,1,1,1,1,3,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE
p2veg:CUSCU,nrcs_plants_symbol,CUSCU,Cuscuta,dodder,Cuscuta,,P2VEG_SUBPLOT_SPP,forb,forb,CA,1,2,2,4,17,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE
p2veg:CYLIN2,nrcs_plants_symbol,CYLIN2,Cylindropuntia,cholla,Cylindropuntia,,P2VEG_SUBPLOT_SPP,shrub,shrub_vine,AZ;NM,2,3,3,6,20,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
p2veg:CYNOD,nrcs_plants_symbol,CYNOD,Cynodon,Bermudagrass,Cynodon,,P2VEG_SUBPLOT_SPP,graminoid,graminoid,NM,1,1,1,1,6,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE
p2veg:CYNOG,nrcs_plants_symbol,CYNOG,Cynoglossum,hound's tongue,Cynoglossum,,P2VEG_SUBPLOT_SPP,forb,forb,CA,1,5,5,5,18,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE
p2veg:CYNOS2,nrcs_plants_symbol,CYNOS2,Cynosurus,dogstail grass,Cynosurus,,P2VEG_SUBPLOT_SPP,graminoid,graminoid,CA;OR,2,66,76,147,2423.24264,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE
p2veg:CYPER,nrcs_plants_symbol,CYPER,Cyperus,flatsedge,Cyperus,,P2VEG_SUBPLOT_SPP,graminoid,graminoid,CA;ID,2,10,12,19,100.029201,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE
p2veg:CYRTA,nrcs_plants_symbol,CYRTA,Cyrtandra,cyrtandra,Cyrtandra,,P2VEG_SUBPLOT_SPP,shrub,shrub_vine,HI,1,1,1,2,7,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
p2veg:CYTIS,nrcs_plants_symbol,CYTIS,Cytisus,broom,Cytisus,,P2VEG_SUBPLOT_SPP,shrub,shrub_vine,CA,1,6,6,8,132,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
p2veg:DACTY,nrcs_plants_symbol,DACTY,Dactylis,orchardgrass,Dactylis,,P2VEG_SUBPLOT_SPP,graminoid,graminoid,CO;MT;OR;UT,4,9,9,21,201,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE
p2veg:DALEA,nrcs_plants_symbol,DALEA,Dalea,prairie clover,Dalea,,P2VEG_SUBPLOT_SPP,forb,forb,AZ,1,1,1,3,30,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE
p2veg:DANTH,nrcs_plants_symbol,DANTH,Danthonia,oatgrass,Danthonia,,P2VEG_SUBPLOT_SPP,graminoid,graminoid,CA;CO;ID;MT;OR;UT;WA;WY,8,74,80,143,2331.953998,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE
p2veg:DASYO,nrcs_plants_symbol,DASYO,Dasyochloa,woollygrass,Dasyochloa,,P2VEG_SUBPLOT_SPP,graminoid,graminoid,NM,1,1,1,1,20,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE
p2veg:DAUCU,nrcs_plants_symbol,DAUCU,Daucus,wild carrot,Daucus,,P2VEG_SUBPLOT_SPP,forb,forb,CA;OR,2,12,14,20,119.744688,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE
p2veg:DEINA2,nrcs_plants_symbol,DEINA2,Deinandra,tarweed,Deinandra,,P2VEG_SUBPLOT_SPP,forb,forb,CA,1,1,1,3,10.30958,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE
p2veg:DELPH,nrcs_plants_symbol,DELPH,Delphinium,larkspur,Delphinium,,P2VEG_SUBPLOT_SPP,forb,forb,CA;CO;OR;WA;WY,5,49,51,69,422.242626,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE
p2veg:DEBU,nrcs_plants_symbol,DEBU,Delphinium x burkei,larkspur,Delphinium,x,P2VEG_SUBPLOT_SPP,forb,forb,WA,1,1,1,1,3,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE
p2veg:DEOC,nrcs_plants_symbol,DEOC,Delphinium x occidentale,,Delphinium,x,P2VEG_SUBPLOT_SPP,forb,forb,CO;ID;MT;NV;UT;WY,6,70,77,116,1107,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE
p2veg:DESCH,nrcs_plants_symbol,DESCH,Deschampsia,hairgrass,Deschampsia,,P2VEG_SUBPLOT_SPP,graminoid,graminoid,CA;CO;ID;MT;OR;UT;WA;WY,8,23,23,29,337.188282,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE
p2veg:DESCU,nrcs_plants_symbol,DESCU,Descurainia,tansymustard,Descurainia,,P2VEG_SUBPLOT_SPP,forb,forb,CA;OR;UT,3,13,16,20,192.031106,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE
p2veg:DESMO,nrcs_plants_symbol,DESMO,Desmodium,ticktrefoil,Desmodium,,P2VEG_SUBPLOT_SPP,forb;shrub,forb;shrub_vine,AZ;HI,2,4,4,9,84,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE
p2veg:DICEN,nrcs_plants_symbol,DICEN,Dicentra,bleeding heart,Dicentra,,P2VEG_SUBPLOT_SPP,forb,forb,CA;OR;WA,3,13,16,21,83.060477,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE
p2veg:DICHA2,nrcs_plants_symbol,DICHA2,Dichanthelium,rosette grass,Dichanthelium,,P2VEG_SUBPLOT_SPP,graminoid,graminoid,CO,1,1,1,1,5,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE
p2veg:DICHE2,nrcs_plants_symbol,DICHE2,Dichelostemma,snakelily,Dichelostemma,,P2VEG_SUBPLOT_SPP,forb,forb,CA,1,5,5,9,34,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE
p2veg:DIVE6,nrcs_plants_symbol,DIVE6,Dichelostemma x venustum,snakelily,Dichelostemma,x,P2VEG_SUBPLOT_SPP,forb,forb,CA,1,1,1,1,3,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE
p2veg:DICLI,nrcs_plants_symbol,DICLI,Dicliptera,foldwing,Dicliptera,,P2VEG_SUBPLOT_SPP,shrub,shrub_vine,HI,1,1,1,1,15,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
p2veg:DICRA2,nrcs_plants_symbol,DICRA2,Dicranopteris,forkedfern,Dicranopteris,,P2VEG_SUBPLOT_SPP,forb,forb,HI,1,1,1,1,10,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE
p2veg:DIGIT2,nrcs_plants_symbol,DIGIT2,Digitaria,crabgrass,Digitaria,,P2VEG_SUBPLOT_SPP,graminoid,graminoid,AZ;HI;NM;OR;UT,5,6,6,14,264,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE
p2veg:DIPLA3,nrcs_plants_symbol,DIPLA3,Diplacus,bush monkeyflower,Diplacus,,P2VEG_SUBPLOT_SPP,shrub,shrub_vine,CA,1,41,50,78,626.291725,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
p2veg:DIPLO2,nrcs_plants_symbol,DIPLO2,Diplopterygium,diplopterygium,Diplopterygium,,P2VEG_SUBPLOT_SPP,forb,forb,HI,1,1,1,2,15,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE
p2veg:DODEC,nrcs_plants_symbol,DODEC,Dodecatheon,shootingstar,Dodecatheon,,P2VEG_SUBPLOT_SPP,forb,forb,AK;CA;OR;WA,4,23,24,29,185.971972,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE
p2veg:DRABA,nrcs_plants_symbol,DRABA,Draba,draba,Draba,,P2VEG_SUBPLOT_SPP,forb,forb,CA;ID;OR;WA,4,9,9,15,233,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE
p2veg:DRYAS,nrcs_plants_symbol,DRYAS,Dryas,mountain-avens,Dryas,,P2VEG_SUBPLOT_SPP,forb,forb,AK;WA,2,2,2,5,93,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE
p2veg:DRYOP,nrcs_plants_symbol,DRYOP,Dryopteris,woodfern,Dryopteris,,P2VEG_SUBPLOT_SPP,forb,forb,CA;OR;WA,3,71,73,120,849.713518,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE
p2veg:ECHIN3,nrcs_plants_symbol,ECHIN3,Echinocereus,hedgehog cactus,Echinocereus,,P2VEG_SUBPLOT_SPP,shrub,shrub_vine,CA,1,1,1,1,3,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
p2veg:ELAPH,nrcs_plants_symbol,ELAPH,Elaphoglossum,tonguefern,Elaphoglossum,,P2VEG_SUBPLOT_SPP,forb,forb,HI,1,1,1,2,25,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE
p2veg:ELEOC,nrcs_plants_symbol,ELEOC,Eleocharis,spikerush,Eleocharis,,P2VEG_SUBPLOT_SPP,graminoid,graminoid,CA;NM;UT,3,6,6,9,45.20042,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE
p2veg:ELYMU,nrcs_plants_symbol,ELYMU,Elymus,wildrye,Elymus,,P2VEG_SUBPLOT_SPP,forb;graminoid,forb;graminoid,AK;AZ;CA;CO;ID;MT;NM;NV;OR;UT;WA;WY,12,884,937,1606,16561.885872,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE
p2veg:ENCEL,nrcs_plants_symbol,ENCEL,Encelia,brittlebush,Encelia,,P2VEG_SUBPLOT_SPP,shrub,shrub_vine,CA,1,4,4,7,85,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
p2veg:ENEMI,nrcs_plants_symbol,ENEMI,Enemion,false rue anemone,Enemion,,P2VEG_SUBPLOT_SPP,forb,forb,CA,1,1,1,2,9,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE
p2veg:EPHED,nrcs_plants_symbol,EPHED,Ephedra,jointfir,Ephedra,,P2VEG_SUBPLOT_SPP,shrub,shrub_vine,CA;NM;NV,3,143,156,279,1661.116373,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
p2veg:EPILO,nrcs_plants_symbol,EPILO,Epilobium,willowherb,Epilobium,,P2VEG_SUBPLOT_SPP,forb;shrub,forb;shrub_vine,AK;CA;MT;OR;WA,5,228,249,407,3310.942716,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE
p2veg:EQUIS,nrcs_plants_symbol,EQUIS,Equisetum,horsetail,Equisetum,,P2VEG_SUBPLOT_SPP,forb;graminoid,forb;graminoid,AK;CA;OR;WA,4,183,209,250,2256.457113,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE
p2veg:ERAGR,nrcs_plants_symbol,ERAGR,Eragrostis,lovegrass,Eragrostis,,P2VEG_SUBPLOT_SPP,graminoid,graminoid,AZ;CA;CO;NM;OR;UT,6,93,95,201,3775.030752,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE
p2veg:ERECH,nrcs_plants_symbol,ERECH,Erechtites,burnweed,Erechtites,,P2VEG_SUBPLOT_SPP,forb,forb,OR,1,1,1,3,75,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE
p2veg:ERIAS,nrcs_plants_symbol,ERIAS,Eriastrum,woollystar,Eriastrum,,P2VEG_SUBPLOT_SPP,forb,forb,CA;OR,2,10,11,17,120.709956,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE
p2veg:ERICA,nrcs_plants_symbol,ERICA,Erica,heath,Erica,,P2VEG_SUBPLOT_SPP,shrub,shrub_vine,CA,1,2,2,6,41,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
p2veg:ERICA2,nrcs_plants_symbol,ERICA2,Ericameria,goldenbush,Ericameria,,P2VEG_SUBPLOT_SPP,forb;shrub,forb;shrub_vine,AZ;CA;ID;NM;OR;UT;WA,7,69,70,109,677.729492,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE
p2veg:ERVI21,nrcs_plants_symbol,ERVI21,Ericameria x viscosa,goldenbush,Ericameria,x,P2VEG_SUBPLOT_SPP,shrub,shrub_vine,CA,1,1,1,1,3,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
p2veg:ERIGE2,nrcs_plants_symbol,ERIGE2,Erigeron,fleabane,Erigeron,,P2VEG_SUBPLOT_SPP,forb;shrub,forb;shrub_vine,AK;AZ;CA;CO;ID;MT;NM;NV;OR;UT;WA;WY,12,342,353,582,4487.417155,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE
p2veg:ERIOD,nrcs_plants_symbol,ERIOD,Eriodictyon,yerba santa,Eriodictyon,,P2VEG_SUBPLOT_SPP,shrub,shrub_vine,CA;OR,2,41,46,61,395.644858,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
p2veg:ERIOG,nrcs_plants_symbol,ERIOG,Eriogonum,buckwheat,Eriogonum,,P2VEG_SUBPLOT_SPP,forb;graminoid;shrub,forb;graminoid;shrub_vine,AZ;CA;ID;NM;NV;OR;UT;WA,8,532,567,810,4508.204305,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE
