species_key,source_code_system,source_species_code,scientific_name,common_name,community_layers,n_states,n_plot_visits,n_conditions,abundance_total,bien_query_name,range_lookup_status,range_review_reason
fia_spcd:6006,fia_spcd,6006,Acacia koa,koa,seedling;tree,1,79,81,6970.30762921436,Acacia_koa,missing,No BIEN range returned
p2veg:QUJO3,nrcs_plants_symbol,QUJO3,Quercus john-tuckeri,Tucker oak,p2veg_tree_layer;shrub,1,134,142,6963.070423,Quercus_john-tuckeri,missing,No BIEN range returned
p2veg:COSES,nrcs_plants_symbol,COSES,Cornus sericea ssp. sericea,redosier dogwood,p2veg_tree_layer;shrub,11,298,332,6954.012509,Cornus_sericea_ssp._sericea,missing,No BIEN range returned
p2veg:MIST,nrcs_plants_symbol,MIST,Microlaena stipoides,weeping grass,graminoid,1,56,56,6668,Microlaena_stipoides,missing,No BIEN range returned
p2veg:PLJA,nrcs_plants_symbol,PLJA,Pleuraphis jamesii,James' galleta,graminoid,5,382,384,6245.228002,Pleuraphis_jamesii,missing,No BIEN range returned
p2veg:HECOC8,nrcs_plants_symbol,HECOC8,Hesperostipa comata ssp. comata,needle and thread,graminoid,11,402,408,6197.107424,Hesperostipa_comata_ssp._comata,missing,No BIEN range returned
fia_spcd:952,fia_spcd,952,Tilia americana var. heterophylla,white basswood,seedling;tree,14,199,200,5982.61969784589,Tilia_americana_var._heterophylla,missing,No BIEN range returned
p2veg:CAAQD,nrcs_plants_symbol,CAAQD,Carex aquatilis var. dives,Sitka sedge,graminoid,3,132,144,5762.981154,Carex_aquatilis_var._dives,missing,No BIEN range returned
fia_spcd:513,fia_spcd,513,Eucalyptus grandis,grand eucalyptus,seedling;tree,3,31,34,5757.41051497113,Eucalyptus_grandis,missing,No BIEN range returned
p2veg:CESTM,nrcs_plants_symbol,CESTM,Centaurea stoebe ssp. micranthos,spotted knapweed,forb,9,311,322,5709.198717,Centaurea_stoebe_ssp._micranthos,missing,No BIEN range returned
p2veg:ACHY,nrcs_plants_symbol,ACHY,Achnatherum hymenoides,Indian ricegrass,graminoid,11,421,431,5572.601191,Achnatherum_hymenoides,missing,No BIEN range returned
p2veg:ELELE,nrcs_plants_symbol,ELELE,Elymus elymoides ssp. elymoides,squirreltail,graminoid,11,516,554,5445.719498,Elymus_elymoides_ssp._elymoides,missing,No BIEN range returned
p2veg:STTA,nrcs_plants_symbol,STTA,Styphelia tameiameiae,pukiawe,p2veg_tree_layer;shrub,1,122,123,5410.333155,Styphelia_tameiameiae,missing,No BIEN range returned
fia_spcd:8131,fia_spcd,8131,Perrottetia sandwicensis,olomea,seedling;tree,1,10,10,5027.44072147544,Perrottetia_sandwicensis,missing,No BIEN range returned
p2veg:CHUMO2,nrcs_plants_symbol,CHUMO2,Chimaphila umbellata ssp. occidentalis,pipsissewa,shrub,5,516,535,5016.194144,Chimaphila_umbellata_ssp._occidentalis,missing,No BIEN range returned
p2veg:MIACB,nrcs_plants_symbol,MIACB,Mimosa aculeaticarpa var. biuncifera,catclaw mimosa,p2veg_tree_layer;shrub,2,243,247,4805.820403,Mimosa_aculeaticarpa_var._biuncifera,missing,No BIEN range returned
p2veg:DAFRF,nrcs_plants_symbol,DAFRF,Dasiphora fruticosa ssp. floribunda,shrubby cinquefoil,shrub,10,303,323,4264.321286,Dasiphora_fruticosa_ssp._floribunda,missing,No BIEN range returned
p2veg:FRVEB2,nrcs_plants_symbol,FRVEB2,Fragaria vesca ssp. bracteata,woodland strawberry,forb,5,335,399,3904.666464,Fragaria_vesca_ssp._bracteata,missing,No BIEN range returned
p2veg:MECA9,nrcs_plants_symbol,MECA9,Melastoma candidum,Asian melastome,p2veg_tree_layer;shrub,1,52,53,3855.957787,Melastoma_candidum,missing,No BIEN range returned
p2veg:HAST3,nrcs_plants_symbol,HAST3,Harrimanella stelleriana,Alaska bellheather,shrub,1,88,91,3740.488822,Harrimanella_stelleriana,missing,No BIEN range returned
fia_spcd:8344,fia_spcd,8344,Prosopis pallida,kiawe,seedling;tree,1,19,20,3706.74696762305,Prosopis_pallida,missing,No BIEN range returned
p2veg:CAINH2,nrcs_plants_symbol,CAINH2,Carex inops ssp. heliophila,sun sedge,graminoid,3,208,215,3625.676574,Carex_inops_ssp._heliophila,missing,No BIEN range returned
p2veg:VACO9,nrcs_plants_symbol,VACO9,Vachellia constricta,whitethorn acacia,p2veg_tree_layer;shrub,2,172,173,3464.023157,Vachellia_constricta,missing,No BIEN range returned
p2veg:OPENE,nrcs_plants_symbol,OPENE,Opuntia engelmannii var. engelmannii,cactus apple,shrub,2,217,218,3432.818332,Opuntia_engelmannii_var._engelmannii,missing,No BIEN range returned
p2veg:CALEH2,nrcs_plants_symbol,CALEH2,Caltha leptosepala ssp. howellii,Howell's marsh marigold,forb,4,167,178,3335.30154,Caltha_leptosepala_ssp._howellii,missing,No BIEN range returned
p2veg:CEVEV4,nrcs_plants_symbol,CEVEV4,Ceanothus velutinus var. velutinus,snowbrush ceanothus,shrub,4,68,75,3280.192592,Ceanothus_velutinus_var._velutinus,missing,No BIEN range returned
p2veg:HEGA,nrcs_plants_symbol,HEGA,Hedychium gardnerianum,Kahila garland-lily,forb,1,34,36,3250.661354,Hedychium_gardnerianum,missing,No BIEN range returned
p2veg:CHTR2,nrcs_plants_symbol,CHTR2,Cheirodendron trigynum,olapalapa,p2veg_tree_layer,1,107,107,3129.570001,Cheirodendron_trigynum,missing,No BIEN range returned
p2veg:ACKO,nrcs_plants_symbol,ACKO,Acacia koa,koa,p2veg_tree_layer,1,54,56,3052.59958,Acacia_koa,missing,No BIEN range returned
p2veg:QUGAF,nrcs_plants_symbol,QUGAF,Quercus garryana var. fruticosa,Oregon white oak,p2veg_tree_layer;shrub,2,39,43,3024.075002,Quercus_garryana_var._fruticosa,missing,No BIEN range returned
p2veg:ACMIO,nrcs_plants_symbol,ACMIO,Achillea millefolium var. occidentalis,western yarrow,forb,9,403,453,2879.158688,Achillea_millefolium_var._occidentalis,missing,No BIEN range returned
fia_spcd:913,fia_spcd,913,Thrinax morrisii,key thatch palm,seedling;tree,1,8,8,2842.41901735656,Thrinax_morrisii,missing,No BIEN range returned
p2veg:DYGR,nrcs_plants_symbol,DYGR,Dysphania graveolens,fetid goosefoot,forb,2,190,197,2799.748824,Dysphania_graveolens,missing,No BIEN range returned
p2veg:ARARA,nrcs_plants_symbol,ARARA,Artemisia arbuscula ssp. arbuscula,little sagebrush,shrub,8,91,99,2775.010492,Artemisia_arbuscula_ssp._arbuscula,missing,No BIEN range returned
fia_spcd:6721,fia_spcd,6721,Coprosma pubens,pubescent mirrorplant,seedling;tree,1,14,15,2550.49386879131,Coprosma_pubens,missing,No BIEN range returned
p2veg:CELE2,nrcs_plants_symbol,CELE2,Ceanothus leucodermis,chaparral whitethorn,shrub,1,89,93,2432.106737,Ceanothus_leucodermis,missing,No BIEN range returned
p2veg:SAME3,nrcs_plants_symbol,SAME3,Salvia mellifera,black sage,shrub,1,78,86,2414.885309,Salvia_mellifera,missing,No BIEN range returned
p2veg:POPH,nrcs_plants_symbol,POPH,Polygonum phytolaccifolium,poke knotweed,forb,6,132,141,2330.279231,Polygonum_phytolaccifolium,missing,No BIEN range returned
fia_spcd:413,fia_spcd,413,Carya carolinae-septentrionalis,southern shagbark hickory,seedling;tree,6,37,37,2295.71594490814,Carya_carolinae-septentrionalis,missing,No BIEN range returned
p2veg:GABU2,nrcs_plants_symbol,GABU2,Garrya buxifolia,dwarf silktassel,shrub,2,131,138,2257.229107,Garrya_buxifolia,missing,No BIEN range returned
p2veg:QUWIF,nrcs_plants_symbol,QUWIF,Quercus wislizeni var. frutescens,interior live oak,p2veg_tree_layer;shrub,1,54,59,2254.368872,Quercus_wislizeni_var._frutescens,missing,No BIEN range returned
p2veg:BRAR6,nrcs_plants_symbol,BRAR6,Broussaisia arguta,kanawao,p2veg_tree_layer;shrub,1,64,64,2184,Broussaisia_arguta,missing,No BIEN range returned
p2veg:STLAR,nrcs_plants_symbol,STLAR,Streptopus lanceolatus var. roseus,twistedstalk,forb,1,175,183,2166.872652,Streptopus_lanceolatus_var._roseus,missing,No BIEN range returned
p2veg:PRGLT,nrcs_plants_symbol,PRGLT,Prosopis glandulosa var. torreyana,western honey mesquite,p2veg_tree_layer;shrub,3,74,74,2160.715739,Prosopis_glandulosa_var._torreyana,missing,No BIEN range returned
