scenario,response,group,group_label,term,estimate,std_error,statistic,p_value,conf_low,conf_high,n,stable_plots
common_histories,temperature,saplings,Saplings,disease_cumulative_mortality_pct,0.00196522381747899,0.00220136028195385,0.892731568562108,0.37202864094811,-0.00235003655633343,0.0062804841912914,7761,7726
common_histories,temperature,saplings,Saplings,fire_cumulative_mortality_pct,0.00104886571479612,0.00153956686369157,0.681273246087637,0.49571895117971,-0.00196910091891922,0.00406683234851146,7761,7726
common_histories,temperature,saplings,Saplings,full_survey_period_years,0.00744142862800485,0.00302862291420146,2.45703372087406,0.0140306956605209,0.00150451018897771,0.013378347067032,7761,7726
common_histories,temperature,saplings,Saplings,insect_cumulative_mortality_pct,0.00393925383791779,0.0018687167338442,2.10799944505993,0.0350630391875589,0.000276064610082389,0.00760244306575319,7761,7726
condition_prop_80,temperature,saplings,Saplings,cumulative_site_CWD_mm,-6.23204702168375e-06,1.19875432946461e-06,-5.19876914602437,2.01739371749186e-07,-8.58164367540784e-06,-3.88245036795966e-06,34968,34966
condition_prop_80,temperature,saplings,Saplings,disease_cumulative_mortality_pct,0.0005745662255686,0.000928322281841844,0.618929693714373,0.53596670857867,-0.00124497500434068,0.00239410745547788,34968,34966
condition_prop_80,temperature,saplings,Saplings,fire_cumulative_mortality_pct,0.000476150504130944,0.00107915799729217,0.441224088896808,0.659053504140167,-0.00163903353062431,0.00259133453888619,34968,34966
condition_prop_80,temperature,saplings,Saplings,full_survey_period_years,0.0082548071343074,0.00121330739031873,6.80355794432184,1.03708766902523e-11,0.0058766860179442,0.0106329282506706,34968,34966
condition_prop_80,temperature,saplings,Saplings,insect_cumulative_mortality_pct,0.00223125290120929,0.000831844925610802,2.68229429850875,0.00731534641279611,0.000600810361322553,0.00386169544109603,34968,34966
state_fixed_effects,temperature,saplings,Saplings,cumulative_site_CWD_mm,1.98963999223793e-06,2.28162834116043e-06,0.872026331521637,0.383198262275992,-2.48237924415888e-06,6.46165922863473e-06,49324,48899
state_fixed_effects,temperature,saplings,Saplings,disease_cumulative_mortality_pct,0.00270821019000995,0.000849364827683922,3.18851228793496,0.00143096312143654,0.0010434448206468,0.00437297555937309,49324,48899
state_fixed_effects,temperature,saplings,Saplings,fire_cumulative_mortality_pct,0.00133739259002686,0.000894679746798659,1.49482828331849,0.134965667376582,-0.000416190570700932,0.00309097575075466,49324,48899
state_fixed_effects,temperature,saplings,Saplings,full_survey_period_years,0.00143068709810952,0.00173621738948159,0.824025324695492,0.409929157486657,-0.00197232005439602,0.00483369425061507,49324,48899
state_fixed_effects,temperature,saplings,Saplings,insect_cumulative_mortality_pct,0.00227927758569607,0.00082397787199808,2.76618785910962,0.00567369755302679,0.00066427095754969,0.00389428421384244,49324,48899
mean_monthly_CWD,temperature,saplings,Saplings,disease_cumulative_mortality_pct,0.00151382139961494,0.000831107941790471,1.82144980633164,0.0685445650595779,-0.000115160212087218,0.0031428030113171,49324,48899
mean_monthly_CWD,temperature,saplings,Saplings,fire_cumulative_mortality_pct,0.000659147885264089,0.000896003777854532,0.735653020171867,0.461945385621242,-0.00109703034953452,0.0024153261200627,49324,48899
mean_monthly_CWD,temperature,saplings,Saplings,full_survey_period_years,0.00630687446919304,0.00111214336324867,5.67091858622445,1.42826112351808e-08,0.00412706003449305,0.00848668890389303,49324,48899
mean_monthly_CWD,temperature,saplings,Saplings,insect_cumulative_mortality_pct,0.00158824013808529,0.000792643640765573,2.00372532674493,0.0451049512037209,3.46490213187869e-05,0.00314183125485179,49324,48899
mean_monthly_CWD,temperature,saplings,Saplings,mean_monthly_site_CWD_mm,-0.000507932930063854,0.000141710048385746,-3.58431131630989,0.000338294638762828,-0.000785686337781862,-0.000230179522345845,49324,48899
no_survey_period,temperature,saplings,Saplings,cumulative_site_CWD_mm,-6.42670839522542e-06,1.11993176439784e-06,-5.73848211072116,9.60868419937678e-09,-8.62178818922566e-06,-4.23162860122518e-06,49324,48899
no_survey_period,temperature,saplings,Saplings,disease_cumulative_mortality_pct,0.0019509429576891,0.000831124744181006,2.34735275462358,0.0189112761290922,0.000321928413909049,0.00357995750146915,49324,48899
no_survey_period,temperature,saplings,Saplings,fire_cumulative_mortality_pct,0.000742153675164576,0.00089629765013154,0.828021444723925,0.407662361953031,-0.00101460055197486,0.00249890790230401,49324,48899
no_survey_period,temperature,saplings,Saplings,insect_cumulative_mortality_pct,0.00168447446724093,0.000793037672612787,2.12407874860619,0.0336685208416417,0.000130111044064632,0.00323883789041723,49324,48899
baseline,temperature,trees,Adults,cumulative_site_CWD_mm,-1.89953002059152e-06,6.69526790261557e-07,-2.83712324618027,0.00455346805689809,-3.21180035983855e-06,-5.87259681344497e-07,72388,71316
baseline,temperature,trees,Adults,disease_cumulative_mortality_pct,0.000257453560714469,0.000390454815516621,0.659368383954557,0.509661336993673,-0.000507836612391919,0.00102274373382086,72388,71316
baseline,temperature,trees,Adults,fire_cumulative_mortality_pct,0.00104433310128228,0.000291531735293541,3.58222784984541,0.000340899747326009,0.000472931844843424,0.00161573435772114,72388,71316
baseline,temperature,trees,Adults,full_survey_period_years,0.00802380661077112,0.000624973079393609,12.8386435757463,1.09512326360205e-37,0.00679886140044471,0.00924875182109753,72388,71316
baseline,temperature,trees,Adults,insect_cumulative_mortality_pct,0.00170114318623948,0.000402551063263146,4.2259065780369,2.38271779758622e-05,0.000912144406748948,0.00249014196573001,72388,71316
common_histories,temperature,trees,Adults,cumulative_site_CWD_mm,-3.62731890417051e-06,1.08802033374426e-06,-3.33387050928326,0.00085803705100833,-5.75993000401062e-06,-1.4947078043304e-06,19796,19653
common_histories,temperature,trees,Adults,disease_cumulative_mortality_pct,0.00114675129495698,0.000671689569445057,1.70726381221673,0.0877887149172606,-0.00016981659170722,0.00246331918162118,19796,19653
common_histories,temperature,trees,Adults,fire_cumulative_mortality_pct,0.000773498295645252,0.000443801764247891,1.74289143928055,0.0813681112115213,-9.63903812571259e-05,0.00164338697254763,19796,19653
common_histories,temperature,trees,Adults,full_survey_period_years,0.00950535034380639,0.00125074487664607,7.59975157307492,3.09892255185328e-14,0.00705378549315303,0.0119569151944598,19796,19653
common_histories,temperature,trees,Adults,insect_cumulative_mortality_pct,0.00129824709892341,0.000545443811304039,2.38016652131331,0.0173142287769408,0.000229131485685698,0.00236736271216112,19796,19653
condition_prop_80,temperature,trees,Adults,cumulative_site_CWD_mm,-1.57615536772062e-06,7.47912530779341e-07,-2.10740601722267,0.0350873698431281,-3.04207250449675e-06,-1.10238230944489e-07,49968,49966
