response,group,group_label,term,estimate_baseline,estimate_common_histories,estimate_condition_prop_80,estimate_state_fixed_effects,estimate_mean_monthly_CWD,estimate_no_survey_period,conf_low_baseline,conf_low_common_histories,conf_low_condition_prop_80,conf_low_state_fixed_effects,conf_low_mean_monthly_CWD,conf_low_no_survey_period,conf_high_baseline,conf_high_common_histories,conf_high_condition_prop_80,conf_high_state_fixed_effects,conf_high_mean_monthly_CWD,conf_high_no_survey_period,p_value_baseline,p_value_common_histories,p_value_condition_prop_80,p_value_state_fixed_effects,p_value_mean_monthly_CWD,p_value_no_survey_period,n_baseline,n_common_histories,n_condition_prop_80,n_state_fixed_effects,n_mean_monthly_CWD,n_no_survey_period,sign_consistent
CWD,trees,Adults,fire_cumulative_mortality_pct,0.132605900149637,0.12571152502592,0.140784074549872,0.135706041525971,0.134296699413594,0.132481938959422,0.0799589452933698,-0.0132347002304342,0.0818321301372283,0.0824782523088197,0.0816720269151459,0.079821872602779,0.185252855005904,0.264657750282275,0.199736018962515,0.188933830743123,0.186921371912042,0.185142005316065,7.95907393013558e-07,0.0761817051019958,2.86586666729186e-06,5.83386697127295e-07,5.69108695190117e-07,8.20081730005038e-07,73981,42181,50936,73981,73981,73981,TRUE
CWD,trees,Adults,insect_cumulative_mortality_pct,0.100562356682281,0.0687858705366045,0.0892857842035168,0.0852018929236865,0.103035302063298,0.100503867623414,0.0566480896120152,-0.000345097963380558,0.0396066356652705,0.0402680478093116,0.0591746930908161,0.0566020435454242,0.144476623752546,0.13791683903659,0.138964932741763,0.130135738038061,0.14689591103578,0.144405691701404,7.18910207640706e-06,0.0511546216271215,0.000427667104748467,0.000202172866858936,4.14480025778213e-06,7.23440662173468e-06,73981,42181,50936,73981,73981,73981,TRUE
precipitation,community,Pooled all live,disease_cumulative_mortality_pct,0.0073061792886718,,0.0140409931136235,0.0127464040986342,0.00503353649031394,0.0214169430782819,-0.0568542648707521,,-0.0574805391912777,-0.0531564983149446,-0.0591470262122417,-0.0426396014219042,0.0714666234480957,,0.0855625254185246,0.0786493065122129,0.0692140991928696,0.085473487578468,0.823386985299079,,0.700397697649049,0.70462487130461,0.8778325369433,0.512268143866654,77669,,53280,77669,77669,77669,TRUE
precipitation,community,Pooled all live,fire_cumulative_mortality_pct,0.0644582931512428,,0.0434452097591618,0.0634288930668214,0.0623723744097465,0.0601343169831695,-0.00278548155989579,,-0.0353348814574867,-0.00393933499385556,-0.00481262207055516,-0.00710238576042018,0.131702067862381,,0.12222530097581,0.130797121127498,0.129557370890048,0.127371019726759,0.0602749437158425,,0.279748860690246,0.0649854309701806,0.0688244859670194,0.0796136305996002,77669,,53280,77669,77669,77669,TRUE
precipitation,community,Pooled all live,insect_cumulative_mortality_pct,0.0023782144407523,,0.00843351064866103,-0.00603159348178054,-0.00102283112572009,0.000238473708350451,-0.0518276124672987,,-0.0538144754517884,-0.0618271654775498,-0.055133148792941,-0.0539314976687933,0.0565840413488033,,0.0706814967491104,0.0497639785139887,0.0530874865415008,0.0544084450854942,0.931472707620718,,0.790589300043304,0.832202265290652,0.97044588032683,0.993115537590586,77669,,53280,77669,77669,77669,FALSE
precipitation,saplings,Saplings,disease_cumulative_mortality_pct,0.0560536697231003,0.0407829896952969,0.056276118779084,0.110794338100722,0.0494832900370567,0.068154947896759,-0.0521161189949802,-0.0755513894425863,-0.0786596810948514,-0.000715128978468496,-0.0586291257419751,-0.0397440192560176,0.164223458441181,0.15711736883318,0.19121191865302,0.222303805179912,0.157595705816088,0.176053915049536,0.309787024870376,0.492011938517398,0.413678298936586,0.0514874114232481,0.369669125026006,0.215702830816305,50463,42181,35675,50463,50463,50463,TRUE
precipitation,saplings,Saplings,fire_cumulative_mortality_pct,0.107349220785694,0.0546071695703417,0.167438495181289,0.130509140697585,0.0997029467423007,0.105839502192526,-0.0594438817223287,-0.117236572828986,-0.0318324879535674,-0.0359739012095832,-0.066947081495553,-0.0609788460320811,0.274142323293716,0.226450911969669,0.366709478316146,0.296992182604753,0.266352974980154,0.272657850417132,0.207142892442798,0.533393034389847,0.0995820729188558,0.124424777447028,0.240949629545732,0.213671818643072,50463,42181,35675,50463,50463,50463,TRUE
precipitation,saplings,Saplings,insect_cumulative_mortality_pct,-0.120310376839116,-0.140931258354189,-0.0802672710526937,-0.128386334358739,-0.126920414954288,-0.120706147508304,-0.222979170071592,-0.255959663953734,-0.19499916781917,-0.235726655328675,-0.229511973790697,-0.223330359099489,-0.0176415836066392,-0.0259028527546436,0.0344646257137829,-0.0210460133888036,-0.0243288561178796,-0.0180819359171188,0.0216342696703506,0.0163371973822844,0.170305159002963,0.0190663493434169,0.0153197346060732,0.0211506608435768,50463,42181,35675,50463,50463,50463,TRUE
precipitation,seedlings,Seedlings,disease_cumulative_mortality_pct,-0.0168170655235155,0.0423332408461894,0.00837568504381441,-0.0287554089810375,-0.019727645287655,-0.00491266770125862,-0.102172820171973,-0.0607936866250558,-0.0934815716554699,-0.116740166074815,-0.104979884385144,-0.0902284076733608,0.0685386891249415,0.145460168317435,0.110232941743099,0.0592293481127401,0.0655245938098339,0.0804030722708436,0.699374906173786,0.421065808980246,0.871958838420964,0.521802208078713,0.650153482665272,0.910140874968773,59395,42181,41245,59395,59395,59395,FALSE
precipitation,seedlings,Seedlings,fire_cumulative_mortality_pct,0.121726076034145,0.0743967542514541,0.0653873122878384,0.115834147219114,0.120447098702726,0.116969236954196,0.0260888723637196,-0.075551965057253,-0.0443226714036472,0.020005336443288,0.0248917339713911,0.0213105342552265,0.217363279704571,0.224345473560161,0.175097295979324,0.211662957994941,0.21600246343406,0.212627939653166,0.0126100063056365,0.330827292077339,0.24274264745231,0.0178309148260343,0.0134923532929095,0.0165489171629574,59395,42181,41245,59395,59395,59395,TRUE
